scene,instance_id,fragment_id,class,traj_event_count,traj_start_ts,orig_event_count,nr_event_count,sampled_event_count
hn-but-2,24,108,butterfly,80117,579197603,2983,2983,2048
hn-but-2,24,109,butterfly,80117,579197603,2753,2753,2048
hn-but-2,25,0,insect,26197,79233392,2263,2263,2048
hn-but-2,25,1,insect,26197,79233392,2992,2992,2048
hn-but-2,25,2,insect,26197,79233392,2142,2142,2048
hn-but-2,25,3,insect,26197,79233392,8825,8825,2048
hn-but-2,25,4,insect,26197,79233392,9974,9974,2048
hn-but-2,26,0,butterfly,27719,105065470,4253,4253,2048
hn-but-2,26,1,butterfly,27719,105065470,4938,4938,2048
hn-but-2,26,2,butterfly,27719,105065470,2187,2187,2048
hn-but-2,26,3,butterfly,27719,105065470,3576,3576,2048
hn-but-2,26,4,butterfly,27719,105065470,2195,2195,2048
hn-but-2,26,5,butterfly,27719,105065470,1633,1633,2048
hn-but-2,26,6,butterfly,27719,105065470,1554,1554,2048
hn-but-2,26,7,butterfly,27719,105065470,2099,2099,2048
hn-but-2,26,8,butterfly,27719,105065470,2692,2692,2048
hn-but-2,26,10,butterfly,27719,105065470,1327,1327,2048
hn-but-2,27,0,insect,6828,143264862,5025,5025,2048
hn-but-2,28,0,insect,19352,143338664,4284,4284,2048
hn-but-2,28,1,insect,19352,143338664,14010,14010,2048
hn-but-2,29,21,butterfly,55153,210709910,3027,3027,2048
hn-but-2,29,22,butterfly,55153,210709910,2656,2656,2048
hn-but-2,29,24,butterfly,55153,210709910,1086,1086,2048
hn-but-2,29,28,butterfly,55153,210709910,1046,1046,2048
hn-but-2,29,29,butterfly,55153,210709910,1372,1372,2048
hn-but-2,29,30,butterfly,55153,210709910,1032,1032,2048
hn-but-2,29,31,butterfly,55153,210709910,1579,1579,2048
hn-but-2,29,32,butterfly,55153,210709910,2441,2441,2048
hn-but-2,29,33,butterfly,55153,210709910,1476,1476,2048
hn-but-2,29,34,butterfly,55153,210709910,2169,2169,2048
hn-but-2,29,35,butterfly,55153,210709910,1643,1643,2048
hn-but-2,29,36,butterfly,55153,210709910,1393,1393,2048
hn-but-2,29,37,butterfly,55153,210709910,1036,1036,2048
hn-but-2,29,41,butterfly,55153,210709910,1180,1180,2048
hn-but-2,29,43,butterfly,55153,210709910,1049,1049,2048
hn-but-2,29,44,butterfly,55153,210709910,1100,1100,2048
hn-but-2,29,46,butterfly,55153,210709910,1052,1052,2048
hn-but-2,29,47,butterfly,55153,210709910,1142,1142,2048
hn-but-2,2,37,butterfly,186800,9271072,1238,1238,2048
hn-but-2,2,39,butterfly,186800,9271072,1862,1862,2048
hn-but-2,2,40,butterfly,186800,9271072,1573,1573,2048
hn-but-2,2,41,butterfly,186800,9271072,1537,1537,2048
hn-but-2,2,42,butterfly,186800,9271072,1592,1592,2048
hn-but-2,2,43,butterfly,186800,9271072,3621,3621,2048
hn-but-2,2,44,butterfly,186800,9271072,4081,4081,2048
hn-but-2,2,45,butterfly,186800,9271072,3887,3887,2048
hn-but-2,2,46,butterfly,186800,9271072,2458,2458,2048
hn-but-2,2,47,butterfly,186800,9271072,3506,3506,2048
hn-but-2,2,48,butterfly,186800,9271072,3492,3492,2048
hn-but-2,2,49,butterfly,186800,9271072,5130,5130,2048
hn-but-2,2,50,butterfly,186800,9271072,5314,5314,2048
hn-but-2,2,51,butterfly,186800,9271072,5110,5110,2048
hn-but-2,2,52,butterfly,186800,9271072,5500,5500,2048
hn-but-2,2,53,butterfly,186800,9271072,3971,3971,2048
hn-but-2,2,54,butterfly,186800,9271072,3887,3887,2048
hn-but-2,2,55,butterfly,186800,9271072,4937,4937,2048
hn-but-2,2,56,butterfly,186800,9271072,2905,2905,2048
hn-but-2,2,57,butterfly,186800,9271072,2139,2139,2048
hn-but-2,2,58,butterfly,186800,9271072,2254,2254,2048
hn-but-2,2,59,butterfly,186800,9271072,2488,2488,2048
hn-but-2,2,60,butterfly,186800,9271072,2329,2329,2048
hn-but-2,2,61,butterfly,186800,9271072,2748,2748,2048
hn-but-2,2,62,butterfly,186800,9271072,2576,2576,2048
hn-but-2,2,63,butterfly,186800,9271072,2445,2445,2048
hn-but-2,2,64,butterfly,186800,9271072,2960,2960,2048
hn-but-2,2,65,butterfly,186800,9271072,1870,1870,2048
hn-but-2,2,146,butterfly,186800,9271072,1411,1411,2048
hn-but-2,2,150,butterfly,186800,9271072,1577,1577,2048
hn-but-2,2,151,butterfly,186800,9271072,2151,2151,2048
hn-but-2,2,152,butterfly,186800,9271072,3048,3048,2048
hn-but-2,2,153,butterfly,186800,9271072,5027,5027,2048
hn-but-2,2,154,butterfly,186800,9271072,6227,6227,2048
hn-but-2,2,155,butterfly,186800,9271072,5228,5228,2048
hn-but-2,2,156,butterfly,186800,9271072,5538,5538,2048
hn-but-2,2,157,butterfly,186800,9271072,5748,5748,2048
hn-but-2,2,158,butterfly,186800,9271072,5344,5344,2048
hn-but-2,2,159,butterfly,186800,9271072,4406,4406,2048
hn-but-2,2,160,butterfly,186800,9271072,5813,5813,2048
hn-but-2,2,161,butterfly,186800,9271072,5224,5224,2048
hn-but-2,2,162,butterfly,186800,9271072,2985,2985,2048
hn-but-2,2,163,butterfly,186800,9271072,2719,2719,2048
hn-but-2,2,164,butterfly,186800,9271072,2341,2341,2048
hn-but-2,31,4,butterfly,42840,253989585,1092,1092,2048
hn-but-2,31,5,butterfly,42840,253989585,1305,1305,2048
hn-but-2,31,6,butterfly,42840,253989585,2010,2010,2048
hn-but-2,31,7,butterfly,42840,253989585,2771,2771,2048
hn-but-2,31,8,butterfly,42840,253989585,2676,2676,2048
hn-but-2,31,9,butterfly,42840,253989585,2143,2143,2048
hn-but-2,31,10,butterfly,42840,253989585,1579,1579,2048
hn-but-2,31,12,butterfly,42840,253989585,1066,1066,2048
hn-but-2,31,14,butterfly,42840,253989585,1087,1087,2048
hn-but-2,31,15,butterfly,42840,253989585,1533,1533,2048
hn-but-2,31,16,butterfly,42840,253989585,1379,1379,2048
hn-but-2,31,17,butterfly,42840,253989585,1253,1253,2048
hn-but-2,31,19,butterfly,42840,253989585,1348,1348,2048
hn-but-2,31,20,butterfly,42840,253989585,1951,1951,2048
hn-but-2,31,21,butterfly,42840,253989585,1189,1189,2048
hn-but-2,31,22,butterfly,42840,253989585,1330,1330,2048
hn-but-2,31,24,butterfly,42840,253989585,1762,1762,2048
hn-but-2,31,25,butterfly,42840,253989585,1909,1909,2048
hn-but-2,31,26,butterfly,42840,253989585,2077,2077,2048
hn-but-2,31,28,butterfly,42840,253989585,1341,1341,2048
hn-but-2,32,0,butterfly,77793,271448899,2779,2779,2048
hn-but-2,32,2,butterfly,77793,271448899,1043,1043,2048
hn-but-2,32,5,butterfly,77793,271448899,1029,1029,2048
hn-but-2,32,27,butterfly,77793,271448899,1533,1533,2048
hn-but-2,32,29,butterfly,77793,271448899,1844,1844,2048
hn-but-2,32,30,butterfly,77793,271448899,2299,2299,2048
hn-but-2,32,31,butterfly,77793,271448899,1587,1587,2048
hn-but-2,32,32,butterfly,77793,271448899,1471,1471,2048
hn-but-2,32,33,butterfly,77793,271448899,2994,2994,2048
hn-but-2,32,34,butterfly,77793,271448899,7049,7049,2048
hn-but-2,32,35,butterfly,77793,271448899,6848,6848,2048
hn-but-2,32,36,butterfly,77793,271448899,3396,3396,2048
hn-but-2,32,37,butterfly,77793,271448899,4132,4132,2048
hn-but-2,32,38,butterfly,77793,271448899,4649,4649,2048
hn-but-2,32,39,butterfly,77793,271448899,3717,3717,2048
hn-but-2,32,40,butterfly,77793,271448899,2248,2248,2048
hn-but-2,32,41,butterfly,77793,271448899,5400,5400,2048
hn-but-2,32,42,butterfly,77793,271448899,2172,2172,2048
hn-but-2,32,43,butterfly,77793,271448899,4286,4286,2048
hn-but-2,33,0,butterfly,125043,318206994,2601,2601,2048
hn-but-2,33,1,butterfly,125043,318206994,4479,4479,2048
hn-but-2,33,2,butterfly,125043,318206994,3477,3477,2048
hn-but-2,33,3,butterfly,125043,318206994,5712,5712,2048
hn-but-2,33,4,butterfly,125043,318206994,5867,5867,2048
hn-but-2,33,5,butterfly,125043,318206994,8564,8564,2048
hn-but-2,33,6,butterfly,125043,318206994,8520,8520,2048
hn-but-2,33,7,butterfly,125043,318206994,7305,7305,2048
hn-but-2,33,8,butterfly,125043,318206994,3241,3241,2048
hn-but-2,33,9,butterfly,125043,318206994,5498,5498,2048
hn-but-2,33,10,butterfly,125043,318206994,4219,4219,2048
hn-but-2,33,11,butterfly,125043,318206994,5296,5296,2048
hn-but-2,33,12,butterfly,125043,318206994,4065,4065,2048
hn-but-2,33,13,butterfly,125043,318206994,2076,2076,2048
hn-but-2,33,14,butterfly,125043,318206994,1304,1304,2048
hn-but-2,33,15,butterfly,125043,318206994,2035,2035,2048
hn-but-2,33,16,butterfly,125043,318206994,2630,2630,2048
hn-but-2,33,17,butterfly,125043,318206994,2621,2621,2048
hn-but-2,33,18,butterfly,125043,318206994,2432,2432,2048
hn-but-2,33,19,butterfly,125043,318206994,3199,3199,2048
hn-but-2,33,20,butterfly,125043,318206994,2755,2755,2048
hn-but-2,33,21,butterfly,125043,318206994,3351,3351,2048
hn-but-2,33,22,butterfly,125043,318206994,3344,3344,2048
hn-but-2,33,23,butterfly,125043,318206994,2286,2286,2048
hn-but-2,33,24,butterfly,125043,318206994,2212,2212,2048
hn-but-2,33,25,butterfly,125043,318206994,2320,2320,2048
hn-but-2,33,26,butterfly,125043,318206994,2494,2494,2048
hn-but-2,33,27,butterfly,125043,318206994,2432,2432,2048
hn-but-2,33,28,butterfly,125043,318206994,2882,2882,2048
hn-but-2,33,29,butterfly,125043,318206994,2212,2212,2048
hn-but-2,33,30,butterfly,125043,318206994,2084,2084,2048
hn-but-2,33,31,butterfly,125043,318206994,1664,1664,2048
hn-but-2,33,32,butterfly,125043,318206994,1598,1598,2048
hn-but-2,33,34,butterfly,125043,318206994,1443,1443,2048
hn-but-2,33,38,butterfly,125043,318206994,1689,1689,2048
hn-but-2,34,9,butterfly,23254,449858125,1172,1172,2048
hn-but-2,34,13,butterfly,23254,449858125,1179,1179,2048
hn-but-2,34,14,butterfly,23254,449858125,1057,1057,2048
hn-but-2,35,0,insect,29032,495202239,2244,2244,2048
hn-but-2,35,1,insect,29032,495202239,2553,2553,2048
hn-but-2,35,2,insect,29032,495202239,1342,1342,2048
hn-but-2,35,9,insect,29032,495202239,1450,1450,2048
hn-but-2,35,18,insect,29032,495202239,1473,1473,2048
hn-but-2,35,19,insect,29032,495202239,1618,1618,2048
hn-but-2,35,21,insect,29032,495202239,1653,1653,2048
hn-but-2,35,22,insect,29032,495202239,3996,3996,2048
hn-but-2,35,23,insect,29032,495202239,2425,2425,2048
hn-but-2,36,15,butterfly,30736,498675021,1083,1083,2048
hn-but-2,36,17,butterfly,30736,498675021,1182,1182,2048
hn-but-2,36,18,butterfly,30736,498675021,1373,1373,2048
hn-but-2,36,19,butterfly,30736,498675021,1777,1777,2048
hn-but-2,36,20,butterfly,30736,498675021,1186,1186,2048
hn-but-2,36,21,butterfly,30736,498675021,1364,1364,2048
hn-but-2,36,22,butterfly,30736,498675021,2130,2130,2048
hn-but-2,36,24,butterfly,30736,498675021,1603,1603,2048
hn-but-2,37,0,butterfly,84940,501114784,2892,2892,2048
hn-but-2,37,1,butterfly,84940,501114784,2323,2323,2048
hn-but-2,37,2,butterfly,84940,501114784,3288,3288,2048
hn-but-2,37,3,butterfly,84940,501114784,4800,4800,2048
hn-but-2,37,4,butterfly,84940,501114784,3411,3411,2048
hn-but-2,37,5,butterfly,84940,501114784,2221,2221,2048
hn-but-2,37,6,butterfly,84940,501114784,4267,4267,2048
hn-but-2,37,7,butterfly,84940,501114784,3568,3568,2048
hn-but-2,37,8,butterfly,84940,501114784,2226,2226,2048
hn-but-2,37,9,butterfly,84940,501114784,2741,2741,2048
hn-but-2,37,10,butterfly,84940,501114784,2813,2813,2048
hn-but-2,37,11,butterfly,84940,501114784,1944,1944,2048
hn-but-2,37,12,butterfly,84940,501114784,1344,1344,2048
hn-but-2,37,13,butterfly,84940,501114784,2287,2287,2048
hn-but-2,37,15,butterfly,84940,501114784,1357,1357,2048
hn-but-2,37,16,butterfly,84940,501114784,1443,1443,2048
hn-but-2,37,17,butterfly,84940,501114784,1763,1763,2048
hn-but-2,37,18,butterfly,84940,501114784,1458,1458,2048
hn-but-2,37,19,butterfly,84940,501114784,1312,1312,2048
hn-but-2,37,20,butterfly,84940,501114784,1534,1534,2048
hn-but-2,37,21,butterfly,84940,501114784,1625,1625,2048
hn-but-2,37,22,butterfly,84940,501114784,1288,1288,2048
hn-but-2,37,24,butterfly,84940,501114784,1044,1044,2048
hn-but-2,37,25,butterfly,84940,501114784,1083,1083,2048
hn-but-2,37,27,butterfly,84940,501114784,1101,1101,2048
hn-but-2,37,30,butterfly,84940,501114784,1133,1133,2048
hn-but-2,37,51,butterfly,84940,501114784,1359,1359,2048
hn-but-2,37,52,butterfly,84940,501114784,1207,1207,2048
hn-but-2,37,53,butterfly,84940,501114784,1823,1823,2048
hn-but-2,37,54,butterfly,84940,501114784,2361,2361,2048
hn-but-2,37,55,butterfly,84940,501114784,1144,1144,2048
hn-but-2,37,56,butterfly,84940,501114784,1309,1309,2048
hn-but-2,38,0,bee,24736,502308808,2717,2717,2048
hn-but-2,38,1,bee,24736,502308808,2336,2336,2048
hn-but-2,38,2,bee,24736,502308808,1997,1997,2048
hn-but-2,38,3,bee,24736,502308808,1382,1382,2048
hn-but-2,38,4,bee,24736,502308808,2531,2531,2048
hn-but-2,38,5,bee,24736,502308808,2659,2659,2048
hn-but-2,38,6,bee,24736,502308808,2290,2290,2048
hn-but-2,38,7,bee,24736,502308808,2200,2200,2048
hn-but-2,38,8,bee,24736,502308808,2489,2489,2048
hn-but-2,38,9,bee,24736,502308808,1228,1228,2048
hn-but-2,39,0,butterfly,171461,542642683,1707,1707,2048
hn-but-2,39,2,butterfly,171461,542642683,1156,1156,2048
hn-but-2,39,4,butterfly,171461,542642683,5893,5893,2048
hn-but-2,39,5,butterfly,171461,542642683,3263,3263,2048
hn-but-2,39,6,butterfly,171461,542642683,15233,15233,2048
hn-but-2,39,7,butterfly,171461,542642683,54059,54059,2048
hn-but-2,39,8,butterfly,171461,542642683,34223,34223,2048
hn-but-2,39,9,butterfly,171461,542642683,21625,21625,2048
hn-but-2,39,10,butterfly,171461,542642683,21766,21766,2048
hn-but-2,3,2,butterfly,13713,21032520,1049,1049,2048
hn-but-2,3,3,butterfly,13713,21032520,2281,2281,2048
hn-but-2,3,4,butterfly,13713,21032520,2965,2965,2048
hn-but-2,3,5,butterfly,13713,21032520,2395,2395,2048
hn-but-2,3,6,butterfly,13713,21032520,3404,3404,2048
hn-but-2,40,0,butterfly,95921,555669651,24569,24569,2048
hn-but-2,40,1,butterfly,95921,555669651,29643,29643,2048
hn-but-2,40,2,butterfly,95921,555669651,32884,32884,2048
hn-but-2,41,0,butterfly,642746,557089728,345804,345804,2048
hn-but-2,41,1,butterfly,642746,557089728,274933,274933,2048
hn-but-2,42,21,butterfly,193296,1077125203,1349,1349,2048
hn-but-2,42,24,butterfly,193296,1077125203,1046,1046,2048
hn-but-2,42,25,butterfly,193296,1077125203,1291,1291,2048
hn-but-2,42,26,butterfly,193296,1077125203,1152,1152,2048
hn-but-2,42,27,butterfly,193296,1077125203,2095,2095,2048
hn-but-2,42,28,butterfly,193296,1077125203,3677,3677,2048
hn-but-2,42,29,butterfly,193296,1077125203,4357,4357,2048
hn-but-2,42,30,butterfly,193296,1077125203,5948,5948,2048
hn-but-2,42,31,butterfly,193296,1077125203,4381,4381,2048
hn-but-2,42,32,butterfly,193296,1077125203,3313,3313,2048
hn-but-2,42,33,butterfly,193296,1077125203,2823,2823,2048
hn-but-2,42,34,butterfly,193296,1077125203,2690,2690,2048
hn-but-2,42,35,butterfly,193296,1077125203,3769,3769,2048
hn-but-2,42,36,butterfly,193296,1077125203,3933,3933,2048
hn-but-2,42,37,butterfly,193296,1077125203,4225,4225,2048
hn-but-2,42,38,butterfly,193296,1077125203,3633,3633,2048
hn-but-2,42,39,butterfly,193296,1077125203,3632,3632,2048
hn-but-2,42,40,butterfly,193296,1077125203,3918,3918,2048
hn-but-2,42,41,butterfly,193296,1077125203,5017,5017,2048
hn-but-2,42,42,butterfly,193296,1077125203,3524,3524,2048
hn-but-2,42,43,butterfly,193296,1077125203,3881,3881,2048
hn-but-2,42,44,butterfly,193296,1077125203,4754,4754,2048
hn-but-2,42,45,butterfly,193296,1077125203,6571,6571,2048
hn-but-2,42,46,butterfly,193296,1077125203,8221,8221,2048
hn-but-2,42,47,butterfly,193296,1077125203,8456,8456,2048
hn-but-2,42,48,butterfly,193296,1077125203,10312,10312,2048
hn-but-2,42,49,butterfly,193296,1077125203,14694,14694,2048
hn-but-2,42,50,butterfly,193296,1077125203,20012,20012,2048
hn-but-2,42,51,butterfly,193296,1077125203,9072,9072,2048
hn-but-2,42,52,butterfly,193296,1077125203,18042,18042,2048
hn-but-2,42,53,butterfly,193296,1077125203,14830,14830,2048
hn-but-2,4,2,insect,12273,53270654,1365,1365,2048
hn-but-2,4,3,insect,12273,53270654,1968,1968,2048
hn-but-2,4,4,insect,12273,53270654,8031,8031,2048
hn-but-2,5,0,insect,19423,80074885,6199,6199,2048
hn-but-2,5,1,insect,19423,80074885,3720,3720,2048
hn-but-2,5,2,insect,19423,80074885,1827,1827,2048
hn-but-2,5,3,insect,19423,80074885,2407,2407,2048
hn-but-2,5,4,insect,19423,80074885,5216,5216,2048
hn-but-2,6,1,butterfly,98636,89337076,2341,2341,2048
hn-but-2,6,2,butterfly,98636,89337076,1340,1340,2048
hn-but-2,6,3,butterfly,98636,89337076,1057,1057,2048
hn-but-2,6,9,butterfly,98636,89337076,1702,1702,2048
hn-but-2,6,10,butterfly,98636,89337076,2619,2619,2048
hn-but-2,6,11,butterfly,98636,89337076,3805,3805,2048
hn-but-2,6,12,butterfly,98636,89337076,7344,7344,2048
hn-but-2,6,13,butterfly,98636,89337076,11591,11591,2048
hn-but-2,6,14,butterfly,98636,89337076,8349,8349,2048
hn-but-2,6,15,butterfly,98636,89337076,11809,11809,2048
hn-but-2,6,16,butterfly,98636,89337076,5457,5457,2048
hn-but-2,6,17,butterfly,98636,89337076,2063,2063,2048
hn-but-2,6,18,butterfly,98636,89337076,5058,5058,2048
hn-but-2,6,19,butterfly,98636,89337076,2679,2679,2048
hn-but-2,6,20,butterfly,98636,89337076,1592,1592,2048
hn-but-2,6,21,butterfly,98636,89337076,3531,3531,2048
hn-but-2,6,22,butterfly,98636,89337076,4021,4021,2048
hn-but-2,6,23,butterfly,98636,89337076,6612,6612,2048
hn-but-2,6,24,butterfly,98636,89337076,1309,1309,2048
hn-but-2,6,25,butterfly,98636,89337076,3412,3412,2048
hn-but-2,6,26,butterfly,98636,89337076,3387,3387,2048
hn-but-2,6,27,butterfly,98636,89337076,2171,2171,2048
hn-but-2,7,1,butterfly,181542,142331467,1134,1134,2048
hn-but-2,7,6,butterfly,181542,142331467,1036,1036,2048
hn-but-2,7,7,butterfly,181542,142331467,1084,1084,2048
hn-but-2,7,8,butterfly,181542,142331467,1070,1070,2048
hn-but-2,7,9,butterfly,181542,142331467,1502,1502,2048
hn-but-2,7,10,butterfly,181542,142331467,1800,1800,2048
hn-but-2,7,11,butterfly,181542,142331467,1792,1792,2048
hn-but-2,7,16,butterfly,181542,142331467,2388,2388,2048
hn-but-2,7,17,butterfly,181542,142331467,2283,2283,2048
hn-but-2,7,18,butterfly,181542,142331467,3356,3356,2048
hn-but-2,7,19,butterfly,181542,142331467,3236,3236,2048
hn-but-2,7,20,butterfly,181542,142331467,1862,1862,2048
hn-but-2,7,21,butterfly,181542,142331467,1240,1240,2048
hn-but-2,7,22,butterfly,181542,142331467,3781,3781,2048
hn-but-2,7,23,butterfly,181542,142331467,3608,3608,2048
hn-but-2,7,24,butterfly,181542,142331467,4857,4857,2048
hn-but-2,7,25,butterfly,181542,142331467,5281,5281,2048
hn-but-2,7,26,butterfly,181542,142331467,10757,10757,2048
hn-but-2,7,27,butterfly,181542,142331467,9447,9447,2048
